id,commit_id,user_id,body,line,position,comment_id,created_at,,,
355860,17795499,13840,Is there a reason why you wrap the above inside a Fiber? Does the fiber potentially get suspended in #send_data or Readline.readline?,\N,\N,914314,1/30/12 13:24,,,
355861,4333128,29184,OK,756,16,1569633,7/11/12 21:07,,,
355862,17795499,87037,It's going to have to change to properly support shelling out too.,\N,\N,914337,1/30/12 13:32,,,
355863,18301048,21440,#NAME?,\N,\N,1571396,7/12/12 8:14,,,
355864,66205472,178806,Derp. I forgot to `git add` this in my commit.,\N,\N,1572390,7/12/12 12:05,,,
355865,11187858,87445,"What's the reason for this? Now amx_assembly has to be in the root folder in include files as opposed to its own folder, which makes it hard to use a a submodule. ",\N,\N,1570451,7/12/12 2:43,,,
355866,66205103,118872,This should go inside spynepi and not spyne. This doesn't belong here.,\N,\N,1572964,7/12/12 13:55,,,
355867,66205474,95171,"Nevermind, no it doesn't. Ignore the comment.",\N,\N,1572633,7/12/12 12:50,,,
355868,66205474,95058,"Hahahahahah\
\
Getting my hopes up !! Xx\
\
If something frustrated you and you want to move on to another battle, we can look at it together tomorrow x\
\
Do you want to give grabbing from other google services a go ? Or facebook? Facebooks graph api is g",\N,\N,1572651,7/12/12 12:55,,,
355869,74834,20450,r+,\N,\N,1543618,7/5/12 17:19,,,
355870,16765311,32125,"Please use tabs to spaces.\
\
Compare these two lines:\
Filename: system/language/en/core_errors.php\
Line 1: 26\
Line 2: 27",\N,\N,1530844,7/2/12 22:43,,,
355871,2504028,314860,I will definitely change it!,\N,\N,1529369,7/2/12 17:02,,,
355872,981409,70928,"That was supposed to read \Improve speed of Fx5DOMWrapper\""""",\N,\N,1539823,7/4/12 22:25,,,
355873,16765311,102022,"I do use the tab key when indenting new lines, it's just the way GitHub displays them for some reason, cloning the repository produces a file with lines 26 and 27 lined up properly.\
\
![Tabkey](http://i222.photobucket.com/albums/dd33/jestur2/tabkey.png)",\N,\N,1530862,7/2/12 22:51,,,
355874,1081055,120083,Проверката не става ли с функцията: class_exists ?,\N,\N,1526944,7/2/12 7:25,,,
355875,2504028,97887,"Silly point... We have 2 IMPS presentations, we probably shouldn't call them 'IMPS presentation'!",\N,\N,1528852,7/2/12 15:20,,,
355876,1081055,120086,За коя проверка става на дума?,\N,\N,1527136,7/2/12 8:25,,,
355877,1252804,2903,This comment doesn't seem to match the code below.,190,46,688407,11/1/11 17:56,,,
355878,720516,120083,"Защо \Pragma: public\"" ?""",\N,\N,1560005,7/10/12 7:59,,,
355879,2001724,310366,Не сильно ли редко — раз в час?,1,3,1553486,7/9/12 2:16,,,
355880,2001724,310367,"Нормально, но надо чаще пытаться детектить табу, а на сервак запрос слать раз в 3 минуты не ок.",1,3,1553968,7/9/12 5:55,,,
355881,5668640,174142,jajajajajajaja!!! buenisimo xD ,\N,\N,1557988,7/9/12 21:04,,,
355882,18328950,193737,Wow ruby1.9.3 doesn't love this commit.... thanks travis CI ,\N,\N,1542194,7/5/12 12:49,,,
355883,5668640,177503,LOL XD,\N,\N,1557955,7/9/12 20:59,,,
355884,8462767,36334,Really better! :),\N,\N,1404401,6/1/12 13:35,,,
355885,3882022,421330,"this marks the 1st change, this will help programmers using encoded urls to play with the script directly",28,178,1569927,7/11/12 22:46,,,
355886,3882022,421330,"change 2 allows caching of images on secure servers, like facebook cdn",51,201,1569928,7/11/12 22:47,,,
355887,66205115,61275,"I have a strong preference against `exclude`. I haven't double checked this is true with tastypie `ModelResource` but it was definitely true with django `ModelForms`:\
\
I f you have a form and you use `exclude`, and you add a field to the model it is based ",34,12,1573261,7/12/12 15:02,,,
355888,3611253,157464,"Hello, DEFAULS looks like a typo",\N,\N,1475187,6/19/12 7:38,,,
355889,18333719,17582,are you expecting BOM version and Drone version to diverse ? ,27,33,1185803,4/8/12 11:50,,,
355890,7047522,25260,indent two spaces,17,5,1573797,7/12/12 16:58,,,
355891,1414680,28749,The issue #460 is on openspending: https://github.com/openspending/openspending/issues/460,\N,\N,1567612,7/11/12 14:50,,,
355892,18621210,90892,"just curious, is there any reason your using the parent directory to make the name of the template ? ",40,40,1365396,5/23/12 9:25,,,
355893,1141005,131904,Absolutely!,\N,\N,1504113,6/26/12 7:30,,,
355894,7276026,513996,"well, that didn't seem to change anything. ",\N,\N,1573347,7/12/12 15:21,,,
355895,3081465,150530,me la comoooooooooooooooooooooooooooooooooooooooooooooooooo,4,4,1545349,7/6/12 1:06,,,
355896,91557,24459,"Hey David, that ViewState problem was happening on DefinedTypes and GlobalAttributes too.  I set EnableViewState on the database end, but should I be setting that manually from the page?",\N,\N,1429202,6/7/12 15:51,,,
355897,3963527,10254,great patch :),\N,\N,1306151,5/8/12 14:44,,,
355898,1984715,111427,Only if you run the doxygen binary in that directory,48,48,1540989,7/5/12 7:47,,,
355899,685133,39557,Use ScopedNameMixin here.,10,10,1559942,7/10/12 7:45,,,
355900,4641074,49213,yeah I know. it's taken from another adson. Im just too lazy to do spell check ;),\N,\N,1534611,7/3/12 16:36,,,
355901,19174564,157344,"\
On 3 Jul 2012, at 23:27, Stuart Gale wrote:\
\
> No, it wouldn't work for that case... We can always add more test cases though :)\
\
Keep going then! :)",\N,\N,1535744,7/3/12 20:40,,,
355902,3074291,135287,You'd better use DomainWrapper.wrap() here,197,31,1546865,7/6/12 9:54,,,
355903,1974727,308198,what do you mean Y?,\N,\N,1451772,6/13/12 7:43,,,
355904,66205150,15665,"This could also be a separate function `restack(Desktop *d)`, but there's not really a need. \
It would make the code base larger, but the overall code simpler possibly. \
Just bringing up a past though, for the future.\
",505,103,1577331,7/13/12 8:50,,,
355905,6615026,37404,This `unless` isn't necessary.,27,16,1567110,7/11/12 13:21,,,
355906,1894262,170404,偶记得以前的是路子用 autohotkey 做的，现在该你维护这个了？不错啊~,\N,\N,1570877,7/12/12 5:31,,,
355907,547737,10673,![derp](http://weknowmemes.com/wp-content/uploads/2012/02/that-really-rustled-my-jimmies.jpg),\N,\N,1289249,5/3/12 17:33,,,
355908,547737,4539,what is wrong with you?,\N,\N,1289055,5/3/12 16:55,,,
355909,66205164,53982,"Looking at gui.tex diff, it seems that Github (or git itself?) does not treat endlines as simply whitespaces, which means that changing unix endlines to windows endlines results in the diff showing the whole file changed when actually only lines 109 and 11",\N,\N,1528368,7/2/12 13:31,,,
355910,66205161,407899,"Sure you are right.  I'll fix it. Thanx.\
UPD: done",49,16,1548063,7/6/12 14:11,,,
355911,1213375,201956,"Yeah, but performance is crucial since these are executed many times as you edit.",58,6,1539703,7/4/12 20:41,,,
355912,2131133,50659,Why didn't you push your project on? Would be fun to watch your progress:D,\N,\N,1549595,7/6/12 19:46,,,
355913,547737,4539,"also, I dominate you in terms of lines added (please, god please, don't put lame commits in place to try to top me on that).  @adamdill beats me there.",\N,\N,1289063,5/3/12 16:57,,,
355914,25544513,130399,"\Modification\"" is misspelled.""",10,5,1570808,7/12/12 5:10,,,
355915,4336903,74772,files updated and corrected.,\N,\N,1550430,7/7/12 2:22,,,
355916,13654457,6764,:) :+1:,\N,\N,1569857,7/11/12 22:24,,,
355917,805600,11840,"I guess it's better to capitalize on-open/on-message/on-close to help Emacs documentation engine.  Also, maybe\
\
    the websocket as...\
    => the `websocket' instance as...\
\
is better?",270,92,1403038,6/1/12 8:01,,,
355918,75158,21084,Done. :-),\N,\N,1561494,7/10/12 13:45,,,
355919,75158,21077,Please also port to 3 as I was in need of them yesterday ;),\N,\N,1561379,7/10/12 13:28,,,
355920,1156834,38977,vusim regulator can't be disabled! Vusim does provide audio_regulator to TLV codec.,\N,\N,1580172,7/13/12 20:37,,,
355921,1156834,178594,You are right. I'll correct my mistake.,\N,\N,1580659,7/14/12 2:12,,,
355922,2091227,317382,"**TODO**\
* remove tight polling from cortex drain(); Going to try to use condition variables there too. May get complicated...\
* make benchmark times floats instead of whole numbers (it might already be the case but ALL values are integers at the moment, w",\N,\N,1565812,7/11/12 8:36,,,
355923,1401871,145060,It seems that in line 306 `baseParts = [baseName];` baseParts should also be replaced with normalizedBaseParts.,312,12,1537669,7/4/12 8:40,,,
355924,8995316,87380,"sorry, i've edit it",\N,\N,1551881,7/8/12 4:40,,,
355925,19669407,354599,"Technically, the issue is not a deadlock in pevents itself per se, but rather a SetEvent that is missed/does not take if fired at a particular instant, and only in a WaitForMultipleObjects context. Subsequent SetEvent calls would go through, which made the",\N,\N,1552834,7/8/12 17:31,,,
355926,14340948,18141,It's here: https://github.com/causemetric/sqoot/commit/4855a9b59951fbb49aeafeda40b502ac1b3ea51a,23,13,1616752,7/23/12 12:39,,,
355927,2344337,8209,use `!==`,11,7,1615258,7/23/12 6:15,,,
355928,14340948,26282,I don't see /v1 there.,23,13,1616762,7/23/12 12:40,,,
355929,397989,77913,#NAME?,\N,\N,1615848,7/23/12 8:56,,,
355930,2344335,8209,yeah it's supposed to be this way,12,4,1615260,7/23/12 6:16,,,
355931,397989,77969,This is a step backwards. What other args? ,\N,\N,1615569,7/23/12 7:26,,,
355932,1765680,288028,all look good to me.,\N,\N,1557250,7/9/12 17:57,,,
355933,475683,90762,use simple scale instead of real 3D animation,73,19,1538544,7/4/12 12:55,,,
355934,14340948,18141,"With `faraday` the `/v1` after the `.com` is not being respected. So when doing a request if using blocks you need to add that per request `/v1/offers` or `/v2/deals` \
\
That's the reason why i removed the `/v1` there.",23,13,1616776,7/23/12 12:42,,,
355935,66205476,102154,is this a role or an user ?,22,22,1615263,7/23/12 6:17,,,
355936,4500081,60915,"This change is not compatible with Symfony 2.0.13:\
Fatal error: Declaration of Ivory\\CKEditorBundle\\Form\\Type\\CKEditorType::getDefaultOptions() must be compatible with that of Symfony\\Component\\Form\\FormTypeInterface::getDefaultOptions() in /var/www/vendor",40,19,1336979,5/16/12 7:29,,,
355937,1709364,1136424,"Maybe this code should be used in project not in widget itself, because I want to use * for required fields.",\N,\N,1514446,6/28/12 6:05,,,
355938,21729990,128715,"Was machst Du, wenn der Pfad Spaces enthält? => local FILE=\$1\"". Das nicht nur für Zuweisungen: Die Variablen **immer** mit Gänsefüßchen umschließen. Du hast es fast im ganzen Skript ohne.""",120,120,1611823,7/21/12 2:41,,,
355939,4977496,21843,"Yes, I forgot to patch libsolvext on Friday. Sorry.",\N,\N,1214310,4/16/12 6:57,,,
355940,21729990,128715,"Die Shebang-Zeile muẞ lauten: #!/bin/sh, denn wir schreiben immer POSIX-kompatible Skripte, und benutzen nicht die BASH-Spezialitäten. Unsere Skripte sollen also von allen möglichen Shells (Bash, Sh, Ksh, Zsh, ...) ausgeführt werden können. Zum Beispiel be",1,1,1611831,7/21/12 3:00,,,
355941,21729990,128715,param1 und param2 vertauscht,39,39,1611835,7/21/12 3:02,,,
355942,21729990,128715,Siehe Kommentare,\N,\N,1611837,7/21/12 3:06,,,
355943,21729990,128728,Danke. Werde ich Montag ändern.,\N,\N,1612503,7/21/12 14:52,,,
355944,10209663,705121,прверил комментирование из другого  места,\N,\N,1615686,7/23/12 8:02,,,
355945,16879853,21545,yeah this does not work. you could have pulled the correct version from my commits,\N,\N,1468550,6/17/12 20:16,,,
355946,16879853,73648,"sorry, processing commits one by one. Your commit is more correct than mine, too, so thanks!",\N,\N,1468677,6/17/12 22:20,,,
355947,21738286,81199,프로젝트 진행을위해 폴더구조 및 타일즈를 적용한 소스와 폴더들 커밋,\N,\N,1615933,7/23/12 9:20,,,
355948,4435443,449238,"Is it like a \hogehoge\"" name?""",11,13,1615750,7/23/12 8:20,,,
355949,66205481,203579,"Dude, we're starting 4.3.4 dev or you're just messing around?",\N,\N,1615832,7/23/12 8:49,,,
355950,11867437,11082,"I think this implementation is hard to understand: in particular the LazyLocalMavenPatternTransformer.\
\
It would be simpler if we did something like:\
\
        try {\
            File localMavenRepository = localMavenRepositoryLocator.getLocalMavenRepository",\N,\N,1617107,7/23/12 13:57,,,
355951,6214025,145809,"Why do you use an Either here, rather simply throwing an exception?",31,48,1487752,6/21/12 13:15,,,
355952,6214025,145809,"Most methods should return an Iterator like this:\
```scala\
class GeoPipelineIterator(gp: GeoPipeline) extends Iterator[SpatialDatabaseRecord] {\
  def hasNext = gp.hasNext\
\
  def next() = gp.next.getRecord\
}\
```",\N,\N,1487764,6/21/12 13:17,,,
355953,6214025,550946,"Normally an exception should here never occur, but an exception happen mostly unexpected and break often the application. \
Using an Either object prevent for try/catch cascades, rethrowing and masking exceptions. I think using an Either make code cleaner, ",31,48,1490955,6/22/12 2:14,,,
355954,5167902,38187,"raw_data couldn't be removed from pyfb. it is a very useful param when you don't want to get an object in the response and you just want a python dictionary. Think that the object we are generating via the object factory is no \picklable\"". You cannot seria""",\N,\N,1255437,4/25/12 10:33,,,
355955,3357980,111042,ok,\N,\N,1571647,7/12/12 9:03,,,
355956,3357980,5274,"I don't really think that's necessary, Weblint is only deployed to Heroku so 1.8.7 compatibility is not a concern, for example.",\N,\N,1571623,7/12/12 8:58,,,
355957,791574,127129,"Like.\
\
Except, shouldn't the border-top-color prop just have the color?",\N,\N,1428144,6/7/12 12:07,,,
355958,1601450,10136,You forgot to raise version number in ChangeLog and CMakeLists.txt :),\N,\N,1616409,7/23/12 11:23,,,
355959,353211,22449,Awesome!,\N,\N,769517,12/5/11 15:32,,,
355960,1601450,128836,"Well, well, it's always something :-)\
\
I've fixed it now though (and bumped the version to 11 so that I don't forget it next time...)",\N,\N,1616429,7/23/12 11:28,,,
355961,66205484,22753,"Why are you maintaining the multi-key set() and rmkeys() functions in KeyValueDBMemory? They should be removed just like LevelDB's, right?",\N,\N,1617676,7/23/12 15:54,,,
355962,66205484,22766,"Oh. I see. This baffled me for a while, because that din't match what I have on my local version.\
\
Turns out I did that when I created this patch, and it was wrong. A posterior patch fixes it. When I rebuilt the history I missed it, so it shouldn't be ther",\N,\N,1617738,7/23/12 16:04,,,
355963,21743379,1136839,Thanks to micrenda for spotting the error!! :D,\N,\N,1616052,7/23/12 9:53,,,
355964,66205485,118872,please use single quotes for the string literal here. escaped double quotes look ugly.,75,52,1618240,7/23/12 17:34,,,
355965,66205485,118872,why?,73,50,1618248,7/23/12 17:35,,,
355966,66205485,118872,"this should be:\
\
```python\
        app = Application([SomeService], \tns\""", in_protocol=XmlObject(), out_protocol=XmlObject())\,,,,,
"```""",63,40,1618235,7/23/12 17:33,,,,,,
355967,66205485,118872,this is not necessary. ,72,49,1618246,7/23/12 17:35,,,
355968,353897,69580,it will be used at a later point.,\N,\N,1616310,7/23/12 11:02,,,
355969,66205485,118898,"I had made yet another rookie mistake, Yey !",75,52,1618492,7/23/12 18:24,,,
355970,66205485,118872,an empty line would look nice right before this one.,72,49,1618267,7/23/12 17:38,,,
355971,66205485,118872,"just do:\
\
```python\
assert etree.fromstring(''.join(ctx.out_document)).xpath('//ns1:b', nsmap=app.interface.nsmap)[0].attrib['c'] == \bar\"".\",,,,,,,
```\,,,,,,,,,,
\,,,,,,,,,,
"this is off the top of my head. ask me tomorrow if something isn't clear.""",76,53,1618255,7/23/12 17:37,,,,,,
355972,66205485,118898,"I tried and couldn't make it work that way.I think i would need a little\
help on that issue",63,40,1618477,7/23/12 18:21,,,
355973,66205485,118898,Using xpath is really a greater idea instead of comparing to an ugly string ,76,53,1618524,7/23/12 18:31,,,
355974,4439542,17067,Oops. :-),586,7,1458280,6/14/12 12:05,,,
355975,4439542,38158,"yup, my thought exactly",586,7,1458332,6/14/12 12:14,,,
355976,4439542,38136,;),586,7,1458295,6/14/12 12:07,,,
355977,66205485,118898,Changing root element's name shortens the comparison string.  I doesn't make much sense really,73,50,1618542,7/23/12 18:33,,,
355978,3387185,61120,So I'll take your changing the links back to sourceforge that you're not planning on using GitHub primarily?,\N,\N,1473168,6/18/12 20:21,,,
355979,3387185,104701,"I like SF's download stats lol.  I'm hoping with enough downloads phpseclib might become one of their projects of the month.\
\
Also, the zipball link is a real-time snapshot of Git.  I think explicit releases serve a useful purpose.  It gives me an excuse t",\N,\N,1480100,6/20/12 3:03,,,
355980,353897,72648,"If this code isn't used anymore it should be deleted instead of being commented out. You can always get it back from the git repository, if you change your mind.",\N,\N,1616134,7/23/12 10:17,,,
355981,66205486,30482,"Will not work properly, when month begin with a weekend.",197,92,1616228,7/23/12 10:40,,,
355982,4935554,146813,"[Pavol Pitonak » richrates #19](https://buildhive.cloudbees.com/job/ppitonak/job/richrates/19/) FAILURE\
Looks like this commit caused a build failure\
[(what's this?)](https://www.cloudbees.com/what-is-buildhive)",\N,\N,1616153,7/23/12 10:23,,,
355983,4439542,38136,"Definitely not from the outside, and on the inside it doesn't make sense\
since it can't resume itself.\
\
What's the use-case?\
\
Cheers,\
V\
On Jun 21, 2012 11:30 AM, \oschulz\"" <\",,,,,,,
reply@reply.github.com>\,,,,,,,,,,
wrote:\,,,,,,,,,,
\,,,,,,,,,,
> A bit OT," but: Would it be possible to make acto""",\N,\N,1486357,6/21/12 7:41,,,,,
355984,4439542,375274,"A bit OT, but: Would it be possible to make actor suspend / resume accessible in the public API (ActorRef)? I think that would be very useful in some scenarios (e.g. making an actor wait for something without blocking a thread). Or is this already possible",\N,\N,1486334,6/21/12 7:30,,,
355985,4439542,375274,"> What if the child dies?\
The child doing the actual work could be watched by an intermediate supervisor, which would handle this case,  i guess.\
\
> In this case just use \become\"" + Stash and you can accomplish the same\",,,,,,,
"Sure - I'm not saying it's necessary""",\N,\N,1487693,6/21/12 13:00,,,,,,
355986,4439542,375274,"> Suspension of a parent implies suspension of children\
\
Uhm, yes, this was originally about hierarchial suspension, wasn't it? There's the flaw in my plan ... just forget everything I said - sorry! :-)\
",\N,\N,1487844,6/21/12 13:32,,,
355987,4439542,38136,"On Thu, Jun 21, 2012 at 5:00 PM, oschulz <\
reply@reply.github.com\
> wrote:\
\
> > What if the child dies?\
> The child doing the actual work could be watched by an intermediate\
> supervisor, which would handle this case,  i guess.\
>\
\
Suspension of a parent im",\N,\N,1487712,6/21/12 13:05,,,
355988,4439542,375274,"Resume would have to be possible from outside, of course. The use case I was thinking of was:\
An actor gets a message, instructing it to do some long-running operation. The actor spaws a child (or children) to do all that stuff, but until it's finished (fo",\N,\N,1486891,6/21/12 10:14,,,
355989,4439542,38136,"On Thu, Jun 21, 2012 at 2:14 PM, oschulz <\
reply@reply.github.com\
> wrote:\
\
> Resume would have to be possible from outside, of course. The use case I\
> was thinking of was:\
> An actor gets a message, instructing it to do some long-running operation.",\N,\N,1487205,6/21/12 11:25,,,
355990,11886412,707411,File does not exit.,37,37,1340701,5/16/12 21:30,,,
355991,11886412,770064,"Hi AgentShark, \
\
The PHP implementation of Github is actually completely out of date. We will push the latest version later today. Approx 1pm GMT\
\
Sorry about that\
------Original Message------\
From: AgentShark\
To: trafficspaces\
Subject: Re: [trafficspaces-",71,71,1340725,5/16/12 21:39,,,
355992,11886412,707411,TrafficspacesBase does not exist. Do you mean TrafficspacesResource?,71,71,1340710,5/16/12 21:34,,,
355993,11886412,707411,"Hi,\
I am currently waiting for the updated php source so I can start \
implementing my project. Please can you push it ASAP?\
Thanks.\
\
-----Original Message----- \
From: trafficspaces\
Sent: Wednesday, May 16, 2012 7:39 PM\
To: AgentShark\
Subject: Re: [traffics",71,71,1344585,5/17/12 16:51,,,
355994,4576131,1367,I generally avoid initializing return values...,180,207,990600,2/21/12 10:21,,,
355995,4576131,1367,"On the whole, it looks pretty good Philipp!  I'm hoping to get a chance to try it out in the next week or so.",\N,\N,990621,2/21/12 10:28,,,
355996,4576131,1367,...because things like this happen.  Do we want to return EXIT_SUCCESS in this case?,191,218,990603,2/21/12 10:23,,,
355997,4576131,1367,Same here... does it make sense to return EXIT_SUCCESS?,246,307,990617,2/21/12 10:27,,,
355998,11886412,770064,"We are running final tests on all the implementation. Once we are done, we'll push it live.\
\
It definitely be ready by tomorrow morning.\
\
Thanks for your patience\
------Original Message------\
From: Avery Stephen\
To: trafficspaces\
Subject: Re: [traf",71,71,1345776,5/17/12 21:13,,,
355999,4576131,1367,Nice!,\N,\N,991976,2/21/12 15:36,,,
356000,1014350,147226,This shouldn't have been inlined into the graph rendering function: it is also called by the table renderer just above (line 626).,628,28,1616291,7/23/12 10:59,,,
356001,1014350,131720,"Well spotted. The call to this was missing in the cancel functionality, which I added.",628,28,1616307,7/23/12 11:01,,,
356002,4576131,265956,"Thanks for your feedback.  You're right about the return values in case of empty input.  I have dropped the 'ret' variables altogether now, see e7f0318.",\N,\N,991926,2/21/12 15:27,,,
356003,1014350,147226,Thanks for catching that. Also the revised names for things make much more sense.,628,28,1616320,7/23/12 11:03,,,
356004,3626202,475530,https://github.com/rounce/sockjs-erlang/commit/944b1ba694b383a92a73321b188004662095caf8 or something like that,\N,\N,1136704,3/27/12 7:59,,,
356005,3579935,150968,This handler looks too much like the previous one. Maybe we could extract the code that exists in common and put it in a separate function?,278,352,1486217,6/21/12 6:57,,,
356006,1173019,186441,"This commit breaks compatibility with Redmine 2.0.2!\
The earlier version works well in 2.0.2 => https://github.com/paginagmbh/redmine_silencer",\N,\N,1422982,6/6/12 13:04,,,
356007,5627541,127327,"I think you should probably use 'isinstance' for these instead of using ==. Also, you can use basestring instead of 'str or unicode'",427,39,1617740,7/23/12 16:04,,,
356008,16796,6187,"@burtbeckwith Should the cache plugin be listed in gradle/assemble.gradle too?  \task pluginsFromRepo\""  Looks like database-migration plugin isn't there either.  Please let me know.""",\N,\N,1540185,7/5/12 2:32,,,
356009,16796,6278,Good catch - thanks. I updated with both plugins.,\N,\N,1540202,7/5/12 2:44,,,
356010,66205488,105656,せめてMicroBenchとClass周りの修正は別個にコミットしてください,\N,\N,1616806,7/23/12 12:47,,,
356011,21755908,289491,Het verspringen is nu weg.,\N,\N,1308471,5/9/12 0:59,,,
356012,12630604,116858,"Hi victor, there should be any xforms in edutrac. Xforms shouldn't be handling any messages at all. Unless somthing changed. Just remove xforms from the SMS_APPS in your settings.",\N,\N,949372,2/9/12 12:13,,,
356013,12630604,34602,"Moses and I spotted a weird bug with this line, so added this fix. Message errors were sent to users responding to Non-rapidsms-xforms apps:\
\
```shell\
Project-Id-Version: Django Report-Msgid-Bugs-To: POT-Creation-Date: 2011-03-15 13:14-0400 PO-Revision-",\N,\N,949326,2/9/12 11:53,,,
356014,66205490,77913,#NAME?,21,5,1616544,7/23/12 11:53,,,
356015,21758029,85651,Typo: cosing,32,32,1617838,7/23/12 16:25,,,
356016,21755550,120613,Why not System.arraycopy ?,24,24,1339058,5/16/12 15:24,,,
356017,21758029,85651,Typo: coffe,39,39,1617841,7/23/12 16:26,,,
356018,66205490,62830,Can we stick to using lowercase `true` and `false` in templates,21,5,1616342,7/23/12 11:08,,,
356019,21755550,17013,Probably because I'm superstitious. I'll try profiling System.arraycopy and see how it does. Thanks for the suggestion!,24,24,1339118,5/16/12 15:34,,,
356020,21758029,85656,That's not a typo but intentional ;),35,35,1619043,7/23/12 20:09,,,
356021,30128138,66821,This isn't actually `display:block` - `inline-block` has a very different context. If you read the bug it doesn't behave the way you described. Suggest a different fix.,\N,\N,1616571,7/23/12 12:02,,,
356022,21758029,85651,Typo: naise,35,35,1617843,7/23/12 16:26,,,
356023,30128138,67072,"Experimenting a bit, it looks like when the link is longer than one line, the behaviour of `inline-block` causes the link element to have its width set to the container width, and the nature of the block means that content to either side will appear as if ",\N,\N,1616653,7/23/12 12:20,,,
356024,1272144,48787,"I just merged those changes in my repo, all conflicts resolved, and the main demo runs.\
\
I noticed a few things that need to be fixed in my port, but it already runs way better then my first version of the port :D",\N,\N,1438226,6/9/12 22:36,,,
356025,17954780,2170786,need attention...,68,54,1542792,7/5/12 14:46,,,
356026,6879058,78151,This looks great. Will merge this all momentarily.,\N,\N,1616736,7/23/12 12:35,,,
356027,1347118,859,missing comma,24,13,1617379,7/23/12 14:47,,,
356028,6879058,11300,"There are in fact more to add, just a preliminary list of potentially dangerous stuff ;) I will also add Java/Grails stuff soon.",\N,\N,1616748,7/23/12 12:38,,,
356029,12288562,569120,"Hey Volker\
\
The links are working when ajax is enabled.",37,5,1617912,7/23/12 16:42,,,
356030,66205492,16449,Looks good! I'd push it.,\N,\N,1616659,7/23/12 12:22,,,
356031,2438527,23823,"Running the GC before a benchmark is standard practice in managed languages so that a GC cycle doesn't mess up results.  Ruby's own `Benchmark::bmbm` does it as well.  Anyways, it probably isn't an issue now that the multi-value insert is avoiding the reco",59,31,1558490,7/10/12 0:36,,,
356032,2438527,23824,"I pushed improved version for PG as well, doing multiple inserts + code cleanups.",\N,\N,1558563,7/10/12 1:13,,,
356033,1781332,31665,Why are we adding a duplicate README here?,3,3,1617507,7/23/12 15:17,,,
356034,8995550,589510,good job ;),81,4,1616855,7/23/12 12:59,,,
356035,2438527,23824,You are right!,59,31,1558530,7/10/12 0:59,,,
356036,1774317,29720,"Why this? This triggers only if somebody types !gif\\n!gif or !image\\n!gif , right?",14,7,1618225,7/23/12 17:32,,,
356037,1781332,31654,mistake. it should be removed,3,3,1617566,7/23/12 15:29,,,
356038,1774317,159099,"This triggers when the input is:\
A: !gif\
B: !gif\
So, I figured we wouldn't want to search for a gif with the term 'gif'.\
\
This works basically the same way the !image search works right now.",14,7,1618305,7/23/12 17:46,,,
356039,1774317,10153,It should - this line doesn't appear to be necessary.,14,7,1618292,7/23/12 17:43,,,
356040,1892818,154235,"Could you push this out in a release, please? This would be really helpful as 1.0.3 keeps trying to download Play2.1-0496.\
\
Great work! \
\
Cheers.\
ken lim",17,5,1329044,5/14/12 15:20,,,
356041,1892818,947,"Hmm, it has been pushed. Though I think the problem lies with repo.typesafe.com caching the result.\
Try adding https://oss.sonatype.org/content/groups/public/ as a resolver.\
\
I must get in touch with typesafe and see what there caching strategy the oss.son",\N,\N,1329063,5/14/12 15:23,,,
